"SiteID","DT","AirTempAvg","PressureAvg","RelHumAvg","DPTempAvg","WindSpeedAvg","WindDir"
1,"2015-01-01T00:00:00.000Z","9.38","1005.80","77.96","5.73","9.88","245.97"
1,"2015-01-01T00:10:00.000Z","9.32","1005.54","78.13","5.72","8.16","244.87"
1,"2015-01-01T00:20:00.000Z","9.17","1005.49","79.52","5.83","6.00","237.88"
1,"2015-01-01T00:30:00.000Z","9.16","1005.35","77.26","5.40","6.52","225.77"
1,"2015-01-01T00:40:00.000Z","9.03","1005.17","75.08","4.87","6.08","221.99"
1,"2015-01-01T00:50:00.000Z","9.24","1005.13","73.10","4.68","7.67","229.38"
1,"2015-01-01T01:00:00.000Z","9.11","1004.84","71.37","4.22","6.11","215.69"
1,"2015-01-01T01:10:00.000Z","8.68","1004.47","71.36","3.81","5.48","197.08"
1,"2015-01-01T01:20:00.000Z","8.65","1004.37","71.72","3.83","5.81","192.10"
1,"2015-01-01T01:30:00.000Z","8.83","1004.36","70.48","3.77","6.78","196.00"
1,"2015-01-01T01:40:00.000Z","8.92","1004.38","70.50","3.86","6.84","205.41"
1,"2015-01-01T01:50:00.000Z","8.80","1004.29","70.05","3.65","6.15","190.87"
1,"2015-01-01T02:00:00.000Z","8.55","1004.21","70.79","3.57","5.73","187.20"
1,"2015-01-01T02:10:00.000Z","8.74","1004.11","71.74","3.93","6.04","189.82"
1,"2015-01-01T02:20:00.000Z","9.15","1004.18","71.12","4.21","8.28","205.16"
1,"2015-01-01T02:30:00.000Z","9.24","1004.14","73.25","4.72","7.76","210.74"
1,"2015-01-01T02:40:00.000Z","9.66","1004.17","72.91","5.04","9.38","214.93"
1,"2015-01-01T02:50:00.000Z","9.70","1004.11","73.43","5.18","9.46","217.92"
1,"2015-01-01T03:00:00.000Z","9.75","1004.17","75.67","5.67","10.14","224.63"
1,"2015-01-01T03:10:00.000Z","9.61","1004.07","77.27","5.83","10.57","220.75"
1,"2015-01-01T03:20:00.000Z","9.40","1004.04","78.60","5.90","10.32","224.68"
1,"2015-01-01T03:30:00.000Z","9.38","1004.13","79.19","5.97","10.96","227.57"
1,"2015-01-01T03:40:00.000Z","9.33","1004.06","78.88","5.87","10.11","227.93"
1,"2015-01-01T03:50:00.000Z","9.31","1004.08","79.63","5.99","10.56","230.99"
1,"2015-01-01T04:00:00.000Z","9.20","1004.45","81.98","6.30","9.55","234.56"
1,"2015-01-01T04:10:00.000Z","9.27","1004.58","83.62","6.65","9.59","239.51"
1,"2015-01-01T04:20:00.000Z","10.09","1004.44","79.48","6.72","13.06","244.75"
1,"2015-01-01T04:30:00.000Z","10.17","1004.23","78.00","6.51","13.47","245.14"
1,"2015-01-01T04:40:00.000Z","10.00","1004.10","78.64","6.47","12.46","247.83"
1,"2015-01-01T04:50:00.000Z","10.07","1004.07","76.76","6.18","12.72","247.42"
1,"2015-01-01T05:00:00.000Z","9.99","1004.08","76.99","6.15","11.43","246.82"
1,"2015-01-01T05:10:00.000Z","9.98","1004.06","77.79","6.29","11.46","247.18"
