"SiteID","DT","AirTempAvg","PressureAvg","RelHumAvg","DPTempAvg","WindSpeedAvg","WindDir"
2,"2015-01-01T00:00:00.000Z","8.90","1008.24","88.25","7.07","8.32","230.71"
2,"2015-01-01T00:10:00.000Z","8.80","1008.41","84.88","6.40","8.64","233.10"
2,"2015-01-01T00:20:00.000Z","8.75","1008.37","83.04","6.05","4.60","247.05"
2,"2015-01-01T00:30:00.000Z","8.74","1008.06","80.58","5.60","8.21","241.13"
2,"2015-01-01T00:40:00.000Z","8.95","1007.84","77.39","5.22","8.15","231.09"
2,"2015-01-01T00:50:00.000Z","8.74","1007.71","79.08","5.33","6.97","206.26"
2,"2015-01-01T01:00:00.000Z","8.76","1007.53","80.26","5.56","6.59","208.70"
2,"2015-01-01T01:10:00.000Z","8.65","1007.38","80.56","5.51","7.42","204.12"
2,"2015-01-01T01:20:00.000Z","8.66","1007.15","78.63","5.16","7.37","202.50"
2,"2015-01-01T01:30:00.000Z","8.58","1006.89","78.69","5.10","6.60","192.96"
2,"2015-01-01T01:40:00.000Z","8.39","1006.85","79.99","5.15","6.00","191.92"
2,"2015-01-01T01:50:00.000Z","8.35","1006.73","78.07","4.77","6.10","191.68"
2,"2015-01-01T02:00:00.000Z","8.32","1006.78","77.28","4.59","6.58","193.06"
2,"2015-01-01T02:10:00.000Z","8.29","1006.66","77.43","4.58","6.84","190.82"
2,"2015-01-01T02:20:00.000Z","8.28","1006.65","76.19","4.35","7.04","187.62"
2,"2015-01-01T02:30:00.000Z","8.37","1006.52","75.40","4.29","6.94","185.24"
2,"2015-01-01T02:40:00.000Z","8.49","1006.65","75.10","4.35","7.51","182.96"
2,"2015-01-01T02:50:00.000Z","8.37","1006.70","77.55","4.68","7.94","189.94"
2,"2015-01-01T03:00:00.000Z","8.51","1006.46","78.79","5.06","9.13","198.34"
2,"2015-01-01T03:10:00.000Z","8.64","1006.42","79.24","5.26","8.97","196.74"
2,"2015-01-01T03:20:00.000Z","8.71","1006.41","79.92","5.45","9.62","200.00"
2,"2015-01-01T03:30:00.000Z","8.75","1006.36","80.77","5.65","10.47","203.29"
2,"2015-01-01T03:40:00.000Z","8.83","1006.46","80.89","5.75","9.40","208.29"
2,"2015-01-01T03:50:00.000Z","8.84","1006.33","82.01","5.95","8.35","221.70"
2,"2015-01-01T04:00:00.000Z","8.99","1006.15","81.89","6.07","8.24","222.87"
2,"2015-01-01T04:10:00.000Z","8.99","1006.29","81.43","5.99","8.62","213.16"
2,"2015-01-01T04:20:00.000Z","9.10","1006.27","81.18","6.05","8.67","220.06"
2,"2015-01-01T04:30:00.000Z","9.29","1006.13","79.84","6.01","10.91","229.92"
2,"2015-01-01T04:40:00.000Z","9.45","1005.95","80.01","6.18","13.11","238.01"
2,"2015-01-01T04:50:00.000Z","9.61","1005.96","79.09","6.18","12.84","238.84"
2,"2015-01-01T05:00:00.000Z","9.64","1006.06","78.89","6.16","12.64","239.57"
2,"2015-01-01T05:10:00.000Z","9.51","1006.12","78.12","5.89","11.67","237.03"
2,"2015-01-01T05:20:00.000Z","9.54","1006.22","77.40","5.80","10.93","234.67"
2,"2015-01-01T05:30:00.000Z","9.37","1006.39","78.44","5.82","9.80","236.21"
2,"2015-01-01T05:40:00.000Z","9.30","1006.59","79.58","5.96","9.39","235.55"
2,"2015-01-01T05:50:00.000Z","9.31","1006.95","80.58","6.17","9.73","235.89"
2,"2015-01-01T06:00:00.000Z","9.50","1007.12","79.40","6.12","10.95","237.12"
2,"2015-01-01T06:10:00.000Z","9.50","1007.14","77.71","5.81","10.50","232.57"
2,"2015-01-01T06:20:00.000Z","9.38","1007.04","77.16","5.59","10.43","234.55"
2,"2015-01-01T06:30:00.000Z","9.35","1006.68","76.74","5.48","9.69","234.91"
2,"2015-01-01T06:40:00.000Z","9.27","1006.65","77.62","5.59","8.02","230.56"
2,"2015-01-01T06:50:00.000Z","9.25","1006.99","78.15","5.65","7.42","228.34"
2,"2015-01-01T07:00:00.000Z","9.16","1006.91","78.60","5.65","7.37","230.15"
2,"2015-01-01T07:10:00.000Z","9.10","1006.83","78.73","5.62","6.73","218.28"
2,"2015-01-01T07:20:00.000Z","8.88","1006.89","80.27","5.68","6.48","208.19"
2,"2015-01-01T07:30:00.000Z","8.45","1006.83","81.60","5.50","7.31","199.66"
2,"2015-01-01T07:40:00.000Z","8.43","1006.66","81.34","5.44","7.98","199.41"
2,"2015-01-01T07:50:00.000Z","8.49","1006.59","81.39","5.49","7.90","201.95"
2,"2015-01-01T08:00:00.000Z","8.31","1006.59","81.88","5.41","7.72","201.19"
2,"2015-01-01T08:10:00.000Z","8.34","1006.28","82.02","5.46","7.90","201.67"
2,"2015-01-01T08:20:00.000Z","8.40","1006.06","81.42","5.42","7.88","204.20"
2,"2015-01-01T08:30:00.000Z","8.27","1005.97","81.91","5.38","8.38","201.78"
2,"2015-01-01T08:40:00.000Z","8.44","1005.82","82.05","5.57","8.75","204.57"
2,"2015-01-01T08:50:00.000Z","8.31","1005.88","82.42","5.51","7.78","197.11"
2,"2015-01-01T09:00:00.000Z","8.19","1005.93","83.08","5.49","7.58","195.93"
2,"2015-01-01T09:10:00.000Z","8.18","1005.79","82.30","5.36","7.31","193.81"
2,"2015-01-01T09:20:00.000Z","8.14","1005.66","82.26","5.31","6.81","191.29"
2,"2015-01-01T09:30:00.000Z","8.21","1005.51","82.09","5.33","6.47","192.53"
2,"2015-01-01T09:40:00.000Z","8.22","1005.37","81.74","5.31","7.00","193.64"
2,"2015-01-01T09:50:00.000Z","8.25","1005.11","81.20","5.22","6.79","192.91"
2,"2015-01-01T10:00:00.000Z","8.27","1004.78","81.00","5.22","6.45","187.93"
2,"2015-01-01T10:10:00.000Z","8.19","1004.72","81.56","5.25","5.99","183.00"
2,"2015-01-01T10:20:00.000Z","8.19","1004.63","81.62","5.26","7.19","185.66"
2,"2015-01-01T10:30:00.000Z","8.19","1004.41","80.90","5.12","7.56","183.99"
2,"2015-01-01T10:40:00.000Z","8.30","1004.23","81.14","5.27","7.54","186.37"
2,"2015-01-01T10:50:00.000Z","8.23","1003.94","81.83","5.33","6.67","184.00"
2,"2015-01-01T11:00:00.000Z","8.28","1003.64","81.76","5.36","5.85","180.57"
