"Time","Strom (Z)","Billia (Z)","Hatston (Z)","Fow (Z)"
"2015-01-01T00:00:00.000Z",-0.92,-0.98,-0.99,-1.03
"2015-01-01T00:15:00.000Z",-0.88,-0.84,-1,-1.05
"2015-01-01T00:30:00.000Z",-0.74,-0.74,-1.01,-1.01
"2015-01-01T00:45:00.000Z",-0.72,-0.66,-1.02,-0.93
"2015-01-01T01:00:00.000Z",-0.74,-0.57,-0.99,-0.89
"2015-01-01T01:15:00.000Z",-0.64,-0.4,-0.91,-0.87
"2015-01-01T01:30:00.000Z",-0.51,-0.27,-0.86,-0.78
"2015-01-01T01:45:00.000Z",-0.51,-0.16,-0.84,-0.67
"2015-01-01T02:00:00.000Z",-0.53,-0.04,-0.78,-0.6
"2015-01-01T02:15:00.000Z",-0.46,0.11,-0.66,-0.54
"2015-01-01T02:30:00.000Z",-0.36,0.24,-0.55,-0.44
"2015-01-01T02:45:00.000Z",-0.31,0.36,-0.45,-0.32
"2015-01-01T03:00:00.000Z",-0.27,0.47,-0.32,-0.23
"2015-01-01T03:15:00.000Z",-0.15,0.57,-0.16,-0.16
"2015-01-01T03:30:00.000Z",-0.02,0.68,-0.04,-0.09
"2015-01-01T03:45:00.000Z",0.11,0.8,0.05,-0.01
"2015-01-01T04:00:00.000Z",0.26,0.89,0.14,0.06
"2015-01-01T04:15:00.000Z",0.36,0.94,0.23,0.13
"2015-01-01T04:30:00.000Z",0.42,1,0.32,0.19
"2015-01-01T04:45:00.000Z",0.54,1.08,0.39,0.25
"2015-01-01T05:00:00.000Z",0.7,1.11,0.47,0.34
"2015-01-01T05:15:00.000Z",0.75,1.07,0.57,0.43
"2015-01-01T05:30:00.000Z",0.76,1.06,0.68,0.5
"2015-01-01T05:45:00.000Z",0.87,1.06,0.77,0.56
"2015-01-01T06:00:00.000Z",0.97,1.02,0.82,0.64
"2015-01-01T06:15:00.000Z",0.91,0.9,0.85,0.69
"2015-01-01T06:30:00.000Z",0.82,0.82,0.89,0.7
"2015-01-01T06:45:00.000Z",0.85,0.76,0.9,0.69
"2015-01-01T07:00:00.000Z",0.84,0.66,0.87,0.72
"2015-01-01T07:15:00.000Z",0.69,0.51,0.83,0.73
"2015-01-01T07:30:00.000Z",0.58,0.39,0.82,0.69
"2015-01-01T07:45:00.000Z",0.6,0.28,0.8,0.63
"2015-01-01T08:00:00.000Z",0.59,0.16,0.74,0.61
"2015-01-01T08:15:00.000Z",0.49,0.01,0.66,0.57
"2015-01-01T08:30:00.000Z",0.42,-0.11,0.6,0.5
"2015-01-01T08:45:00.000Z",0.4,-0.22,0.57,0.4
"2015-01-01T09:00:00.000Z",0.36,-0.32,0.5,0.31
"2015-01-01T09:15:00.000Z",0.26,-0.42,0.4,0.23
"2015-01-01T09:30:00.000Z",0.15,-0.53,0.27,0.14
"2015-01-01T09:45:00.000Z",0.03,-0.64,0.16,0.01
"2015-01-01T10:00:00.000Z",-0.1,-0.74,0.06,-0.11
"2015-01-01T10:15:00.000Z",-0.2,-0.8,-0.04,-0.23
"2015-01-01T10:30:00.000Z",-0.27,-0.89,-0.15,-0.34
"2015-01-01T10:45:00.000Z",-0.38,-0.99,-0.25,-0.45
"2015-01-01T11:00:00.000Z",-0.52,-1.04,-0.34,-0.56
"2015-01-01T11:15:00.000Z",-0.56,-1.02,-0.43,-0.68
"2015-01-01T11:30:00.000Z",-0.55,-1.03,-0.53,-0.75
"2015-01-01T11:45:00.000Z",-0.64,-1.05,-0.64,-0.8
"2015-01-01T12:00:00.000Z",-0.76,-1.03,-0.73,-0.87
"2015-01-01T12:15:00.000Z",-0.77,-0.91,-0.79,-0.93
"2015-01-01T12:30:00.000Z",-0.69,-0.83,-0.85,-0.93
"2015-01-01T12:45:00.000Z",-0.71,-0.78,-0.9,-0.88
"2015-01-01T13:00:00.000Z",-0.77,-0.7,-0.91,-0.87
"2015-01-01T13:15:00.000Z",-0.67,-0.54,-0.87,-0.87
"2015-01-01T13:30:00.000Z",-0.48,-0.42,-0.83,-0.8
"2015-01-01T13:45:00.000Z",-0.47,-0.32,-0.81,-0.69
"2015-01-01T14:00:00.000Z",-0.5,-0.21,-0.75,-0.63
"2015-01-01T14:15:00.000Z",-0.41,-0.05,-0.66,-0.59
"2015-01-01T14:30:00.000Z",-0.27,0.09,-0.6,-0.49
"2015-01-01T14:45:00.000Z",-0.27,0.21,-0.56,-0.37
"2015-01-01T15:00:00.000Z",-0.28,0.33,-0.46,-0.29
"2015-01-01T15:15:00.000Z",-0.23,0.45,-0.32,-0.23
"2015-01-01T15:30:00.000Z",-0.12,0.56,-0.18,-0.13
"2015-01-01T15:45:00.000Z",-0.03,0.68,-0.07,-0.02
"2015-01-01T16:00:00.000Z",0.07,0.78,0.05,0.06
"2015-01-01T16:15:00.000Z",0.2,0.85,0.18,0.11
"2015-01-01T16:30:00.000Z",0.31,0.94,0.28,0.18
"2015-01-01T16:45:00.000Z",0.44,1.05,0.36,0.25
"2015-01-01T17:00:00.000Z",0.59,1.11,0.43,0.33
"2015-01-01T17:15:00.000Z",0.66,1.11,0.51,0.4
"2015-01-01T17:30:00.000Z",0.69,1.14,0.6,0.45
"2015-01-01T17:45:00.000Z",0.82,1.17,0.7,0.51
"2015-01-01T18:00:00.000Z",0.96,1.16,0.77,0.61
"2015-01-01T18:15:00.000Z",0.95,1.06,0.84,0.69
"2015-01-01T18:30:00.000Z",0.9,1,0.93,0.72
"2015-01-01T18:45:00.000Z",0.97,0.96,0.97,0.74
"2015-01-01T19:00:00.000Z",1.01,0.88,0.96,0.79
"2015-01-01T19:15:00.000Z",0.85,0.73,0.94,0.81
"2015-01-01T19:30:00.000Z",0.72,0.61,0.93,0.78
"2015-01-01T19:45:00.000Z",0.75,0.51,0.92,0.73
"2015-01-01T20:00:00.000Z",0.75,0.39,0.86,0.73
"2015-01-01T20:15:00.000Z",0.62,0.22,0.77,0.71
"2015-01-01T20:30:00.000Z",0.51,0.08,0.74,0.63
"2015-01-01T20:45:00.000Z",0.51,-0.04,0.72,0.54
"2015-01-01T21:00:00.000Z",0.49,-0.17,0.66,0.47
"2015-01-01T21:15:00.000Z",0.4,-0.3,0.56,0.41
"2015-01-01T21:30:00.000Z",0.3,-0.42,0.45,0.3
"2015-01-01T21:45:00.000Z",0.2,-0.54,0.35,0.18
"2015-01-01T22:00:00.000Z",0.09,-0.66,0.25,0.05
"2015-01-01T22:15:00.000Z",-0.04,-0.75,0.13,-0.07
"2015-01-01T22:30:00.000Z",-0.14,-0.87,-0.01,-0.19
"2015-01-01T22:45:00.000Z",-0.28,-0.99,-0.12,-0.33
"2015-01-01T23:00:00.000Z",-0.43,-1.09,-0.21,-0.47
"2015-01-01T23:15:00.000Z",-0.5,-1.12,-0.31,-0.61
"2015-01-01T23:30:00.000Z",-0.53,-1.18,-0.43,-0.71
"2015-01-01T23:45:00.000Z",-0.63,-1.24,-0.55,-0.8
"2015-01-02T00:00:00.000Z",-0.78,-1.25,-0.66,-0.9
"2015-01-02T00:15:00.000Z",-0.82,-1.17,-0.76,-1.01
"2015-01-02T00:30:00.000Z",-0.79,-1.13,-0.86,-1.05
"2015-01-02T00:45:00.000Z",-0.85,-1.11,-0.96,-1.04
"2015-01-02T01:00:00.000Z",-0.96,-1.04,-1.01,-1.07
"2015-01-02T01:15:00.000Z",-0.92,-0.88,-1.03,-1.1
"2015-01-02T01:30:00.000Z",-0.77,-0.77,-1.04,-1.05
"2015-01-02T01:45:00.000Z",-0.74,-0.69,-1.05,-0.97
"2015-01-02T02:00:00.000Z",-0.77,-0.58,-1.02,-0.92
"2015-01-02T02:15:00.000Z",-0.65,-0.4,-0.93,-0.89
"2015-01-02T02:30:00.000Z",-0.49,-0.25,-0.87,-0.8
"2015-01-02T02:45:00.000Z",-0.48,-0.13,-0.85,-0.67
"2015-01-02T03:00:00.000Z",-0.51,0,-0.79,-0.59
"2015-01-02T03:15:00.000Z",-0.43,0.16,-0.66,-0.53
"2015-01-02T03:30:00.000Z",-0.32,0.3,-0.54,-0.42
"2015-01-02T03:45:00.000Z",-0.29,0.44,-0.44,-0.29
"2015-01-02T04:00:00.000Z",-0.23,0.56,-0.3,-0.2
"2015-01-02T04:15:00.000Z",-0.12,0.67,-0.13,-0.12
